id;icd_category_id;icd_code;icd_description;record_status
b41851e3-2809-7352-47fe-63de38634273;d30567a8-36ff-7875-8687-2029d9a4a010;A00;Cholera;A
ce6b143b-55d8-46ef-5c78-46725cef1ed2;d30567a8-36ff-7875-8687-2029d9a4a010;A00.0;Cholera due to Vibrio cholerae 01, biovar cholerae;A
759d55c9-18b5-8a70-804a-543f71fd23c9;d30567a8-36ff-7875-8687-2029d9a4a010;A00.1;Cholera due to Vibrio cholerae 01, biovar eltor;A
cbd56a9d-5729-7089-5a04-8afd84487a8c;d30567a8-36ff-7875-8687-2029d9a4a010;A00.9;Cholera, unspecified;A
0979fe7f-8d77-193f-65f3-d752f50583f7;d30567a8-36ff-7875-8687-2029d9a4a010;A01;Typhoid and paratyphoid fevers;A
5998df7a-012a-0def-6e62-f91a9d4d7b7c;d30567a8-36ff-7875-8687-2029d9a4a010;A01.0;Typhoid fever;A
4bf73d1e-744c-3b1c-2b18-ef31bc0f1ade;d30567a8-36ff-7875-8687-2029d9a4a010;A01.1;Paratyphoid fever A;A
02b9882f-18e9-325b-1036-6e4cd9f56e0f;d30567a8-36ff-7875-8687-2029d9a4a010;A01.2;Paratyphoid fever B;A
55cb5919-9ec0-25a5-5bda-bbe6fe132dd5;d30567a8-36ff-7875-8687-2029d9a4a010;A01.3;Paratyphoid fever C;A
1eeaeea7-48ee-6873-1a03-80ef3d842251;d30567a8-36ff-7875-8687-2029d9a4a010;A01.4;Paratyphoid fever, unspecified;A
eafd5a1b-61eb-01b3-39c3-da9b124c42b3;d30567a8-36ff-7875-8687-2029d9a4a010;A02;Other salmonella infections;A
fce763f9-654a-4346-515b-bf93a7157198;d30567a8-36ff-7875-8687-2029d9a4a010;A02.0;Salmonella enteritis;A
2b2b51da-5c3a-62b8-2e5e-c5f586c483e4;d30567a8-36ff-7875-8687-2029d9a4a010;A02.1;Salmonella sepsis;A
b3e67893-8b8b-5ddf-5957-b723c007a93;d30567a8-36ff-7875-8687-2029d9a4a010;A02.2;Localized salmonella infections;A
a3428f49-3625-20db-2aad-f072f7a5515b;d30567a8-36ff-7875-8687-2029d9a4a010;A02.8;Other specified salmonella infections;A
957828ad-06c5-1e52-17f3-5548d8211bf7;d30567a8-36ff-7875-8687-2029d9a4a010;A02.9;Salmonella infection, unspecified;A
221f276e-60d2-7f70-8040-1ea3e73c3c1f;d30567a8-36ff-7875-8687-2029d9a4a010;A03;Shigellosis;A
641ed1c2-4e0d-3e4a-73c8-a7606b434d0a;d30567a8-36ff-7875-8687-2029d9a4a010;A03.0;Shigellosis due to Shigella dysenteriae;A
41e4c18f-97f2-3b77-9f93-0b2042807b67;d30567a8-36ff-7875-8687-2029d9a4a010;A03.1;Shigellosis due to Shigella flexneri;A
c4c54be0-2a29-4bfd-970d-abc40b1e49f7;d30567a8-36ff-7875-8687-2029d9a4a010;A03.2;Shigellosis due to Shigella boydii;A
0518a6e1-0336-65ef-420e-3aaa7d9ba6a5;d30567a8-36ff-7875-8687-2029d9a4a010;A03.3;Shigellosis due to Shigella sonnei;A
6ff73629-7349-795d-48c1-5564eb67a777;d30567a8-36ff-7875-8687-2029d9a4a010;A03.8;Other Shigellosis;A
c586bda8-a0b4-7595-2823-1ebcae2d7ce3;d30567a8-36ff-7875-8687-2029d9a4a010;A03.9;Shigellosis, unspecified;A
0e3632bc-8c46-0567-9f21-29bf7b41811e;d30567a8-36ff-7875-8687-2029d9a4a010;A04;Other bacterial intestinal infections;A
8315ec28-1aa2-3cd7-1414-616d9a694c91;d30567a8-36ff-7875-8687-2029d9a4a010;A04.0;Enteropathogenic Escherichia coli infection;A
e4967a41-8084-94e9-2bfe-77480a1d5cc0;d30567a8-36ff-7875-8687-2029d9a4a010;A04.1;Enterotoxigenic Escherichia coli infection;A
efc64159-6126-090b-5ff2-3efb318d91c6;d30567a8-36ff-7875-8687-2029d9a4a010;A04.2;Enteroinvasive Escherichia coli infection;A
1bc15f28-1f02-a390-23ae-d726b57269c4;d30567a8-36ff-7875-8687-2029d9a4a010;A04.3;Enterohaemorrhagic Escherichia coli infection;A
e899e4b8-937e-8e11-23e0-7277e1faccc;d30567a8-36ff-7875-8687-2029d9a4a010;A04.4;Other intestinal Escherichia coli infections;A
e58d4a1c-1bdb-5ad6-4c5a-bc5ef25c1e74;d30567a8-36ff-7875-8687-2029d9a4a010;A04.5;Campylobacter enteritis;A
d3e5c34f-5d76-a6a5-709c-ac744eaf16ac;d30567a8-36ff-7875-8687-2029d9a4a010;A04.6;Enteritis due to Yersinia enterocolitica;A
72f108ec-58a7-7d50-8bdc-715f11064a3a;d30567a8-36ff-7875-8687-2029d9a4a010;A04.7;Enterocolitis due to Clostridium difficile;A
11157e0b-3285-6826-5020-bb09cd946e06;d30567a8-36ff-7875-8687-2029d9a4a010;A04.8;Other specified bacterial intestinal infections;A
83fa2131-07b6-7122-4ec5-df8c951d384f;d30567a8-36ff-7875-8687-2029d9a4a010;A04.9;Bacterial intestinal infection, unspecified;A
