id;person_employee_id;room_id;schedule_day;schedule_start;schedule_end;notes;record_status
CB3BD113-046D-1E4C-921B-CA545E906275;a8b4c920-0c29-7c7d-9a74-e553f960023d;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;4;09:00:00;15:00:00;jadwal dr tiar kamis;A
13DCB1AA-0E83-9195-4C11-B7D2F51B4055;014fe311-0760-163f-421d-4d038c406bc3;F78D5882-1BF1-6632-40EF-396ED7AB4990;4;09:00:00;20:30:00;Jadwal Sementara Analis Ayu;A
08D6DB8B-7E56-42B9-43C4-E63265D0239E;22d11ddb-6f75-0330-078d-1e1e4f77a2d4;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;5;09:00:00;21:00:00;kia;A
A13BD376-642B-5BF8-52C2-6D67D7ED5E40;439df0ac-717d-6976-9fd5-440f5f8577e0;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;1;09:00:00;21:00:00;Jadwal Praktek Senin;A
EF196C93-7AF6-745D-5181-2D87C21710A4;1c544a0f-00fe-a549-7bd7-3f4f8358070f;802464C6-4182-0D2B-7966-5EE7A45B9060;5;09:00:00;21:00:00;umum;A
30CC5C86-42FC-1201-1807-C664C10AA269;439df0ac-717d-6976-9fd5-440f5f8577e0;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;6;09:00:00;21:00:00;JADWAL SABTU;A
5BCB213F-1405-2A11-89F5-7817BD537F9A;439df0ac-717d-6976-9fd5-440f5f8577e0;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;0;09:00:00;21:00:00;JADWAL DOKTER;A
F8B9C499-1C23-2338-A222-E9A4E8DC1A72;724c40ef-7695-7bed-7e23-5763e83e37fb;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;5;09:00:00;15:00:00;LAB;A
340AF440-20D7-6C66-04E7-A51E57DE1DEE;014fe311-0760-163f-421d-4d038c406bc3;F78D5882-1BF1-6632-40EF-396ED7AB4990;5;15:00:00;21:00:00;JADWAL LAB JUMAT;A
703CC4A6-8A85-52F4-52DB-8F589416671;014fe311-0760-163f-421d-4d038c406bc3;F78D5882-1BF1-6632-40EF-396ED7AB4990;6;15:00:00;21:00:00;lab;A
8F50649D-83FD-371B-2584-11C59BF520B0;014fe311-0760-163f-421d-4d038c406bc3;F78D5882-1BF1-6632-40EF-396ED7AB4990;0;09:00:00;15:00:00;jadwal lab minggu;A
00376A06-5F44-949F-781A-49F12F2E6145;724c40ef-7695-7bed-7e23-5763e83e37fb;FAEE2BB3-36B3-695E-1075-2AAB010E8A06;0;09:00:00;15:00:00;JADWAL LAB MINGGU PAGI;A
